Probe,p-value,q_value,DEG
209406_at,0.0003922091115871196,0.025561928886897445,1.0
209408_at,4.64435375330151e-06,0.0018950003094161199,1.0
209421_at,1.7083872090794362e-07,0.00035925411790930064,1.0
209422_at,0.00036087194222011293,0.024725154687825407,1.0
209449_at,3.3354308885382766e-05,0.005411414950469741,1.0
209451_at,0.00011238792580088916,0.011525657825423983,1.0
209459_s_at,8.049530643349252e-06,0.002516154834424785,1.0
209460_at,1.4263417049864765e-05,0.003481483603577482,1.0
209481_at,0.00041173661792588754,0.0257718474743805,1.0
209484_s_at,0.0006815018044947738,0.03635230357146513,1.0
209511_at,0.000834338800260851,0.0419278252796526,1.0
209520_s_at,0.0008535426415517654,0.04245964880603869,1.0
209533_s_at,4.0972124120094606e-06,0.0017528039660277108,1.0
209549_s_at,1.4602846964345134e-05,0.003517227567293261,1.0
209572_s_at,0.0002576297300953395,0.019853045673502847,1.0
209602_s_at,1.486498909984163e-08,0.00010454517221492819,1.0
209603_at,6.554731436058979e-07,0.0008334417238756388,1.0
209604_s_at,1.2084599900164103e-06,0.001098535811263488,1.0
209608_s_at,3.415917137087924e-05,0.005456003241843955,1.0
209623_at,0.00015225103670784356,0.014085153015230705,1.0
209642_at,0.00010398764765638029,0.010870984006907444,1.0
209644_x_at,5.46419004937182e-05,0.007364745154331754,1.0
209681_at,0.00011260364606838462,0.011525657825423983,1.0
209694_at,6.430374237446827e-05,0.008082315205342649,1.0
209696_at,0.0006976790194755098,0.036604595890240954,1.0
209709_s_at,7.912359541591478e-06,0.0025006257684191562,1.0
209744_x_at,0.0010296689074521309,0.048772257507790163,1.0
209747_at,0.00033627426684777983,0.023632127943319235,1.0
209773_s_at,6.60544067788337e-05,0.008241892595794092,1.0
209781_s_at,3.272481126933226e-05,0.005373060228680905,1.0
209791_at,2.154873117612999e-05,0.004268413028604394,1.0
209822_s_at,4.79127691403915e-08,0.00015409592075005325,1.0
209825_s_at,3.7301397716846445e-06,0.0016995449334738161,1.0
209862_s_at,0.0005113207940232389,0.03008084306364946,1.0
209953_s_at,0.0002745200773168476,0.020615900178455798,1.0
209971_x_at,0.00039827531164161845,0.025561928886897445,1.0
210046_s_at,7.33443916702746e-05,0.008794089067044437,1.0
210052_s_at,7.2476968441696845e-06,0.0023917741428792568,1.0
210074_at,0.0004874051703124503,0.029081571184866564,1.0
210076_x_at,1.917926000833643e-05,0.0040905121450992765,1.0
210087_s_at,0.0006892569752779643,0.03644596240166605,1.0
210093_s_at,0.000922553977703251,0.0449961094834302,1.0
210110_x_at,0.0009964715113205496,0.0474996337240201,1.0
210115_at,0.00040487944484400367,0.025561928886897445,1.0
